origin_airport,destination_airport,num_flights,o_lat,o_long,d_lat,d_long
SFO,LAX,15786,37.619,-122.37483999999999,33.94254,-118.40807
JFK,LAX,12758,40.63975,-73.77893,33.94254,-118.40807
LAS,LAX,11028,36.08036,-115.15233,33.94254,-118.40807
ORD,LAX,8602,41.9796,-87.90446,33.94254,-118.40807
SEA,LAX,10125,47.44898,-122.30931000000001,33.94254,-118.40807
HNL,LAX,5699,21.31869,-157.92241,33.94254,-118.40807
OGG,LAX,3317,20.89865,-156.43046,33.94254,-118.40807
ATL,LAX,6564,33.640440000000005,-84.42694,33.94254,-118.40807
MCO,LAX,3345,28.428890000000003,-81.31603,33.94254,-118.40807
DEN,LAX,8633,39.85841,-104.667,33.94254,-118.40807
BOS,LAX,4770,42.36435,-71.00518000000001,33.94254,-118.40807
DCA,LAX,1345,38.85208,-77.03772,33.94254,-118.40807
FLL,LAX,1921,26.07258,-80.15275,33.94254,-118.40807
SAN,LAX,3556,32.73356,-117.18966,33.94254,-118.40807
PHX,LAX,6801,33.43417,-112.00806000000001,33.94254,-118.40807
MSP,LAX,3812,44.88055,-93.21692,33.94254,-118.40807
SLC,LAX,5669,40.78839,-111.97776999999999,33.94254,-118.40807
DFW,LAX,6182,32.89595,-97.0372,33.94254,-118.40807
KOA,LAX,1612,19.738770000000002,-156.04563000000002,33.94254,-118.40807
EWR,LAX,5286,40.6925,-74.16866,33.94254,-118.40807
TPA,LAX,399,27.97547,-82.53325,33.94254,-118.40807
HOU,LAX,1697,29.64542,-95.27889,33.94254,-118.40807
DAL,LAX,2450,32.84711,-96.85177,33.94254,-118.40807
PHL,LAX,2534,39.87195,-75.24114,33.94254,-118.40807
ANC,LAX,513,61.174319999999994,-149.99618999999998,33.94254,-118.40807
LIH,LAX,1719,21.97598,-159.33896000000001,33.94254,-118.40807
BWI,LAX,1986,39.1754,-76.6682,33.94254,-118.40807
MIA,LAX,3129,25.79325,-80.29056,33.94254,-118.40807
PDX,LAX,5073,45.58872,-122.5975,33.94254,-118.40807
OAK,LAX,5789,37.72129,-122.22072,33.94254,-118.40807
DTW,LAX,2503,42.21206,-83.34884,33.94254,-118.40807
CLT,LAX,2168,35.214009999999995,-80.94313000000001,33.94254,-118.40807
MSY,LAX,2367,29.99339,-90.25803,33.94254,-118.40807
IAH,LAX,4394,29.98047,-95.33972,33.94254,-118.40807
SJC,LAX,5216,37.36186,-121.92901,33.94254,-118.40807
ITO,LAX,294,19.72026,-155.04847,33.94254,-118.40807
RDU,LAX,795,35.87764,-78.78747,33.94254,-118.40807
SMF,LAX,4626,38.69542,-121.59076999999999,33.94254,-118.40807
MDW,LAX,2024,41.78598,-87.75242,33.94254,-118.40807
STL,LAX,1681,38.747690000000006,-90.35999,33.94254,-118.40807
IND,LAX,1130,39.71733,-86.29438,33.94254,-118.40807
IAD,LAX,3594,38.94453,-77.45581,33.94254,-118.40807
AUS,LAX,3281,30.19453,-97.66986999999999,33.94254,-118.40807
MCI,LAX,1655,39.29761,-94.71391,33.94254,-118.40807
CMH,LAX,641,39.99799,-82.89188,33.94254,-118.40807
SAT,LAX,1377,29.533690000000004,-98.46978,33.94254,-118.40807
MKE,LAX,361,42.94722,-87.89658,33.94254,-118.40807
BNA,LAX,2202,36.12448,-86.67818,33.94254,-118.40807
PIT,LAX,562,40.49147,-80.23286999999999,33.94254,-118.40807
MEM,LAX,286,35.04242,-89.97667,33.94254,-118.40807
GEG,LAX,61,47.619859999999996,-117.53383999999998,33.94254,-118.40807
CLE,LAX,909,41.41089,-81.8494,33.94254,-118.40807
RNO,LAX,1975,39.49858,-119.76806,33.94254,-118.40807
TUS,LAX,3170,32.11608,-110.94103,33.94254,-118.40807
SDF,LAX,1,38.17439,-85.736,33.94254,-118.40807
CVG,LAX,767,39.04614,-84.66216999999999,33.94254,-118.40807
OMA,LAX,167,41.30252,-95.89416999999999,33.94254,-118.40807
BOI,LAX,750,43.564440000000005,-116.22278,33.94254,-118.40807
PSP,LAX,366,33.82922,-116.50625,33.94254,-118.40807
ABQ,LAX,1101,35.04022,-106.60918999999998,33.94254,-118.40807
BDL,LAX,331,41.93887,-72.68323000000001,33.94254,-118.40807
COS,LAX,810,38.80581,-104.70025,33.94254,-118.40807
BUF,LAX,336,42.94052,-78.73217,33.94254,-118.40807
ASE,LAX,897,39.22316,-106.86885,33.94254,-118.40807
SBA,LAX,1367,34.42621,-119.84037,33.94254,-118.40807
OKC,LAX,342,35.39309,-97.60073,33.94254,-118.40807
FAT,LAX,1762,36.77619,-119.71813999999999,33.94254,-118.40807
MRY,LAX,1641,36.58698,-121.84295,33.94254,-118.40807
MFR,LAX,213,42.37423,-122.8735,33.94254,-118.40807
ELP,LAX,694,31.80667,-106.37781000000001,33.94254,-118.40807
RDM,LAX,365,44.25407,-121.14996000000001,33.94254,-118.40807
SGU,LAX,87,37.090579999999996,-113.59306000000001,33.94254,-118.40807
SBP,LAX,1366,35.23706,-120.64238999999999,33.94254,-118.40807
EUG,LAX,729,44.123259999999995,-123.21869,33.94254,-118.40807
BZN,LAX,194,45.7769,-111.15301000000001,33.94254,-118.40807
TWF,LAX,9,42.4818,-114.48773999999999,33.94254,-118.40807
FCA,LAX,24,48.3114,-114.25506999999999,33.94254,-118.40807
JAC,LAX,300,43.60732,-110.73773999999999,33.94254,-118.40807
SUN,LAX,63,43.50484,-114.29659,33.94254,-118.40807
DRO,LAX,12,37.15152,-107.75376999999999,33.94254,-118.40807
EGE,LAX,110,39.64257,-106.9177,33.94254,-118.40807
HDN,LAX,91,40.48118,-107.21766000000001,33.94254,-118.40807
MTJ,LAX,44,38.50887,-107.89383000000001,33.94254,-118.40807
SFO,SEA,8947,37.619,-122.37483999999999,47.44898,-122.30931000000001
LAX,SEA,10120,33.94254,-118.40807,47.44898,-122.30931000000001
JFK,SEA,2639,40.63975,-73.77893,47.44898,-122.30931000000001
LAS,SEA,6430,36.08036,-115.15233,47.44898,-122.30931000000001
ORD,SEA,5040,41.9796,-87.90446,47.44898,-122.30931000000001
HNL,SEA,1723,21.31869,-157.92241,47.44898,-122.30931000000001
OGG,SEA,1354,20.89865,-156.43046,47.44898,-122.30931000000001
ATL,SEA,3128,33.640440000000005,-84.42694,47.44898,-122.30931000000001
MCO,SEA,903,28.428890000000003,-81.31603,47.44898,-122.30931000000001
DEN,SEA,6588,39.85841,-104.667,47.44898,-122.30931000000001
BOS,SEA,2075,42.36435,-71.00518000000001,47.44898,-122.30931000000001
DCA,SEA,726,38.85208,-77.03772,47.44898,-122.30931000000001
FLL,SEA,451,26.07258,-80.15275,47.44898,-122.30931000000001
SAN,SEA,3741,32.73356,-117.18966,47.44898,-122.30931000000001
PHX,SEA,5037,33.43417,-112.00806000000001,47.44898,-122.30931000000001
MSP,SEA,2966,44.88055,-93.21692,47.44898,-122.30931000000001
SLC,SEA,4083,40.78839,-111.97776999999999,47.44898,-122.30931000000001
DFW,SEA,3935,32.89595,-97.0372,47.44898,-122.30931000000001
KOA,SEA,992,19.738770000000002,-156.04563000000002,47.44898,-122.30931000000001
EWR,SEA,1919,40.6925,-74.16866,47.44898,-122.30931000000001
TPA,SEA,365,27.97547,-82.53325,47.44898,-122.30931000000001
HOU,SEA,76,29.64542,-95.27889,47.44898,-122.30931000000001
DAL,SEA,618,32.84711,-96.85177,47.44898,-122.30931000000001
PHL,SEA,1016,39.87195,-75.24114,47.44898,-122.30931000000001
ANC,SEA,6630,61.174319999999994,-149.99618999999998,47.44898,-122.30931000000001
LIH,SEA,633,21.97598,-159.33896000000001,47.44898,-122.30931000000001
BWI,SEA,958,39.1754,-76.6682,47.44898,-122.30931000000001
MIA,SEA,463,25.79325,-80.29056,47.44898,-122.30931000000001
