num_flights,airport_id,o_lat,o_long
364596,ATL,33.640440000000005,-84.42694
266377,ORD,41.9796,-87.90446
223234,DEN,39.85841,-104.667
214312,LAX,33.94254,-118.40807
181208,DFW,32.89595,-97.0372
174674,SFO,37.619,-122.37483999999999
154498,PHX,33.43417,-112.00806000000001
151729,LAS,36.08036,-115.15233
137161,SEA,47.44898,-122.30931000000001
134571,MSP,44.88055,-93.21692
131998,MCO,28.428890000000003,-81.31603
129224,IAH,29.98047,-95.33972
126699,DTW,42.21206,-83.34884
125452,BOS,42.36435,-71.00518000000001
116016,EWR,40.6925,-74.16866
113086,CLT,35.214009999999995,-80.94313000000001
111961,SLC,40.78839,-111.97776999999999
101019,BWI,39.1754,-76.6682
94419,JFK,40.63975,-73.77893
93334,LGA,40.77724,-73.87261
90069,FLL,26.07258,-80.15275
87201,MDW,41.78598,-87.75242
84044,SAN,32.73356,-117.18966
74401,DCA,38.85208,-77.03772
73202,PHL,39.87195,-75.24114
70163,TPA,27.97547,-82.53325
69540,DAL,32.84711,-96.85177
67965,MIA,25.79325,-80.29056
62659,PDX,45.58872,-122.5975
56982,STL,38.747690000000006,-90.35999
55033,BNA,36.12448,-86.67818
54433,HOU,29.64542,-95.27889
52128,AUS,30.19453,-97.66986999999999
50414,OAK,37.72129,-122.22072
49125,SJC,37.36186,-121.92901
48315,HNL,21.31869,-157.92241
46877,MSY,29.99339,-90.25803
45073,MCI,39.29761,-94.71391
45063,SMF,38.69542,-121.59076999999999
41812,SNA,33.67566,-117.86822
36774,IAD,38.94453,-77.45581
35940,RDU,35.87764,-78.78747
35639,CLE,41.41089,-81.8494
33005,SAT,29.533690000000004,-98.46978
30309,RSW,26.536170000000002,-81.75516999999999
30164,MKE,42.94722,-87.89658
28413,PIT,40.49147,-80.23286999999999
27035,IND,39.71733,-86.29438
25132,BUR,34.20062,-118.3585
24449,PBI,26.683159999999997,-80.09559
24440,SJU,18.439420000000002,-66.00183
24277,OGG,20.89865,-156.43046
23894,CMH,39.99799,-82.89188
22214,BDL,41.93887,-72.68323000000001
20848,ONT,34.056,-117.60118999999999
19588,OMA,41.30252,-95.89416999999999
