num_flights,airport_id,o_lat,o_long
364655,ATL,33.640440000000005,-84.42694
266460,ORD,41.9796,-87.90446
223165,DEN,39.85841,-104.667
214297,LAX,33.94254,-118.40807
181208,DFW,32.89595,-97.0372
174631,SFO,37.619,-122.37483999999999
154508,PHX,33.43417,-112.00806000000001
151720,LAS,36.08036,-115.15233
137176,SEA,47.44898,-122.30931000000001
134591,MSP,44.88055,-93.21692
131998,MCO,28.428890000000003,-81.31603
129271,IAH,29.98047,-95.33972
126609,DTW,42.21206,-83.34884
125456,BOS,42.36435,-71.00518000000001
115968,EWR,40.6925,-74.16866
113095,CLT,35.214009999999995,-80.94313000000001
111912,SLC,40.78839,-111.97776999999999
101015,BWI,39.1754,-76.6682
94454,JFK,40.63975,-73.77893
93326,LGA,40.77724,-73.87261
90078,FLL,26.07258,-80.15275
87203,MDW,41.78598,-87.75242
84056,SAN,32.73356,-117.18966
74408,DCA,38.85208,-77.03772
73194,PHL,39.87195,-75.24114
70150,TPA,27.97547,-82.53325
69536,DAL,32.84711,-96.85177
67958,MIA,25.79325,-80.29056
62666,PDX,45.58872,-122.5975
56988,STL,38.747690000000006,-90.35999
55029,BNA,36.12448,-86.67818
54421,HOU,29.64542,-95.27889
52118,AUS,30.19453,-97.66986999999999
50451,OAK,37.72129,-122.22072
49131,SJC,37.36186,-121.92901
48320,HNL,21.31869,-157.92241
46876,MSY,29.99339,-90.25803
45068,SMF,38.69542,-121.59076999999999
45065,MCI,39.29761,-94.71391
41800,SNA,33.67566,-117.86822
36765,IAD,38.94453,-77.45581
35937,RDU,35.87764,-78.78747
35633,CLE,41.41089,-81.8494
32992,SAT,29.533690000000004,-98.46978
30304,RSW,26.536170000000002,-81.75516999999999
30162,MKE,42.94722,-87.89658
28411,PIT,40.49147,-80.23286999999999
27026,IND,39.71733,-86.29438
25129,BUR,34.20062,-118.3585
24448,PBI,26.683159999999997,-80.09559
24447,SJU,18.439420000000002,-66.00183
24272,OGG,20.89865,-156.43046
23893,CMH,39.99799,-82.89188
22211,BDL,41.93887,-72.68323000000001
20852,ONT,34.056,-117.60118999999999
19592,OMA,41.30252,-95.89416999999999
19060,ABQ,35.04022,-106.60918999999998
18761,CVG,39.04614,-84.66216999999999
17769,BUF,42.94052,-78.73217
17247,ANC,61.174319999999994,-149.99618999999998
17137,JAX,30.494059999999998,-81.68786
16398,LGB,33.81772,-118.15161
15896,BOI,43.564440000000005,-116.22278
15819,RIC,37.50517,-77.31967
15774,RNO,39.49858,-119.76806
15406,TUS,32.11608,-110.94103
14820,OKC,35.39309,-97.60073
14621,MEM,35.04242,-89.97667
13908,TUL,36.198370000000004,-95.88824
13806,CHS,32.89865,-80.04051
13755,PVD,41.724,-71.42822
13558,KOA,19.738770000000002,-156.04563000000002
12428,LIH,21.97598,-159.33896000000001
11678,GEG,47.619859999999996,-117.53383999999998
11584,BHM,33.562940000000005,-86.75355
11298,ORF,36.89461,-76.20121999999999
10911,GRR,42.88082,-85.52277
10822,ELP,31.80667,-106.37781000000001
9956,SDF,38.17439,-85.736
9403,ALB,42.74812,-73.80298
9276,MSN,43.13986,-89.33751
9229,COS,38.80581,-104.70025
9212,PSP,33.82922,-116.50625
8333,FAT,36.77619,-119.71813999999999
8173,DSM,41.534929999999996,-93.66068
8148,ICT,37.64996,-97.43305
7689,SAV,32.12758,-81.20214
7629,LIT,34.7294,-92.22425
7605,ROC,43.11887,-77.67238
6788,HPN,41.066959999999995,-73.70756999999999
6589,BTR,30.53316,-91.14963
6584,TYS,35.812490000000004,-83.99286
6468,MYR,33.67975,-78.92833
6332,GSP,34.89567,-82.21885999999999
6318,SYR,43.11119,-76.10631
6180,MHT,42.93452,-71.43706
6119,ITO,19.72026,-155.04847
6006,PWM,43.64617,-70.30875
5820,CAK,40.916309999999996,-81.44247
5636,DAY,39.90238,-84.21938
5605,GSO,36.09775,-79.9373
5532,FWA,40.97847,-85.19515
5340,MAF,31.942529999999998,-102.20191
5304,PNS,30.473309999999998,-87.18744000000001
5287,CID,41.88459,-91.71087
5284,SBN,41.70895,-86.31846999999999
5257,LEX,38.036970000000004,-84.60539
5257,SBA,34.42621,-119.84037
5238,ASE,39.22316,-106.86885
5235,ISP,40.79524,-73.10021
5137,XNA,36.28187,-94.30681
4998,BZN,45.7769,-111.15301000000001
4887,SHV,32.44663,-93.8256
4518,JAN,32.311170000000004,-90.07589
4438,FSD,43.58135,-96.7417
4426,JNU,58.35496,-134.57628
4294,GRB,44.48507,-88.12959000000001
4239,LBB,33.66364,-101.82278000000001
4202,FNT,42.9655,-83.74346
4166,STT,18.337310000000002,-64.97336
4038,CHA,35.035270000000004,-85.20379
3982,EUG,44.123259999999995,-123.21869
3929,HSV,34.64045,-86.77311
3879,MOB,30.69142,-88.24283
3841,CAE,33.93884,-81.11954
3810,PSC,46.26468,-119.11903000000001
3773,RDM,44.25407,-121.14996000000001
3603,AVL,35.43619,-82.54181
3580,VPS,30.48325,-86.5254
3522,SBP,35.23706,-120.64238999999999
3511,ACY,39.45758,-74.57717
3508,JAC,43.60732,-110.73773999999999
3385,MFR,42.37423,-122.8735
3332,BIL,45.80766,-108.54286
3274,BTV,44.473,-73.15031
3176,SRQ,27.395329999999998,-82.55411
3166,RAP,44.045320000000004,-103.05736999999999
3148,TVC,44.741440000000004,-85.58224
3103,MDT,40.1935,-76.7634
3065,FAI,64.81368,-147.85967
3062,FAR,46.91935,-96.81499000000001
3043,AMA,35.21937,-101.70593000000001
2954,MLI,41.44853,-90.50754
2953,LNK,40.850970000000004,-96.75925
2877,PIA,40.66424,-89.69331
2804,RST,43.90883,-92.49799
2802,SGU,37.090579999999996,-113.59306000000001
2722,SGF,37.24433,-93.38686
2705,CRP,27.770359999999997,-97.50121999999999
2699,ATW,44.25741,-88.51948
2648,MRY,36.58698,-121.84295
2605,MBS,43.53291,-84.07965
2604,LFT,30.20528,-91.98765999999999
2589,GJT,39.122409999999995,-108.52673
2579,DLH,46.84209,-92.19365
2522,LAN,42.7787,-84.58736
2521,HRL,26.228509999999996,-97.65439
2487,FCA,48.3114,-114.25506999999999
2434,MSO,46.916309999999996,-114.09056000000001
2426,KTN,55.35556999999999,-131.71374
2403,IDA,43.514559999999996,-112.07016999999999
2358,AZO,42.23488,-85.55206
2356,GPT,30.40728,-89.07009000000001
2272,MLU,32.510870000000004,-92.03769
2255,BIS,46.77411,-100.74672
2211,CHO,38.13864,-78.45286
2206,EVV,38.03799,-87.53063
2176,BFL,35.4336,-119.05677
2152,TTN,40.27669,-74.81347
2150,MFE,26.175829999999998,-98.23861
2140,BMI,40.477990000000005,-88.91595
2138,ABE,40.652359999999994,-75.4404
2133,AGS,33.36996,-81.9645
2090,ILM,34.27061,-77.90256
2078,TLH,30.39653,-84.35033
2011,CRW,38.37315,-81.59319
2008,DAB,29.179920000000003,-81.05806
1914,LRD,27.543740000000003,-99.46154
1848,AEX,31.327370000000002,-92.54856
1835,LSE,43.87938,-91.25654
1747,AVP,41.33815,-75.72426999999999
1710,BQN,18.49486,-67.12944
1681,HLN,46.60682,-111.98275
1662,TRI,36.47521,-82.40742
1632,MGM,32.30064,-86.39398
1591,GTF,47.482,-111.37069
1583,EYW,24.55611,-81.75956
1566,SCE,40.851209999999995,-77.8463
1530,ROA,37.32547,-79.97543
1526,MOT,48.25938,-101.28033
1516,ERI,42.08202,-80.17622
1496,MLB,28.10275,-80.64581
1475,GNV,29.69006,-82.27178
1454,SAF,35.61678,-106.08814
1452,GRK,31.0649,-97.8278
1416,EGE,39.64257,-106.9177
1379,YUM,32.65658,-114.60597
1348,SIT,57.04714,-135.3616
1338,SUN,43.50484,-114.29659
