city,before,after
Aberdeen/SD,0,0
Abilene/TX,0,0
Adak/AK,0,0
Agana/GU,0,0
Aguadilla/PR,0,0
Akron/OH,0,0
Albany/GA,0,0
Albany/NY,0,0
Albuquerque/NM,0,0
Alexandria/LA,0,0
Allentown/PA,0,0
Alpena/MI,0,0
Amarillo/TX,0,0
Anchorage/AK,0,0
Appleton/WI,0,0
Arcata/Eureka/CA,0,0
Arlington/VA,0,0
Asheville/NC,0,0
Aspen/CO,166,148
Atlanta/GA,10443,10287
Atlantic City/NJ,100,100
Augusta/GA,0,0
Austin/TX,1514,1513
Bakersfield/CA,0,0
Baltimore/MD,2990,2870
Bangor/ME,0,0
Barrow/AK,0,0
Baton Rouge/LA,0,0
Beaumont/Port Arthur/TX,0,0
Bellingham/WA,0,0
Bemidji/MN,0,0
Bethel/AK,0,0
Billings/MT,0,0
Binghamton/NY,0,0
Birmingham/AL,0,0
Bismarck/ND,0,0
Bloomington/IL,0,0
Boise/ID,466,468
Boston/MA,3604,3680
Bozeman/MT,0,0
Brainerd/MN,0,0
Bristol/TN,0,0
Brownsville/TX,0,0
Brunswick/GA,0,0
Buffalo/NY,0,0
Burbank/CA,0,0
Burlington/VT,0,0
Butte/MT,0,0
Casper/WY,0,0
Cedar City/UT,0,0
Cedar Rapids/IA,0,0
Chantilly/VA,0,0
Charleston/SC,430,392
Charleston/WV,0,0
Charlotte Amalie/VI,0,0
Charlotte/NC,0,0
Charlottesville/VA,0,0
Chattanooga/TN,0,0
Chicago/IL,10939,10943
Christiansted/VI,0,0
Cleveland/OH,0,0
Cody/WY,0,0
College Station/TX,0,0
Colorado Springs/CO,0,0
Columbia/MO,0,0
Columbia/SC,0,0
Columbus-Starkville-West Point/MS,0,0
Columbus/GA,0,0
Columbus/OH,0,0
Cordova/AK,0,0
Corpus Christi/TX,0,0
Covington/KY,0,0
Dallas-Fort Worth/TX,0,0
Dallas/TX,1900,1925
Dayton/OH,0,0
Daytona Beach/FL,58,58
Deadhorse/AK,0,0
Denver/CO,0,0
Des Moines/IA,0,0
Detroit/MI,3626,3718
Devils Lake/ND,0,0
Dillingham/AK,0,0
Dothan/AL,0,0
Duluth/MN,0,0
Durango/CO,0,0
Eagle/CO,0,0
Eau Claire/WI,18,19
El Paso/TX,0,0
Elko/NV,0,0
Elmira/NY,0,0
Erie/PA,0,0
Escanaba/MI,0,0
Eugene/OR,0,0
Evansville/IN,0,0
Fairbanks/AK,0,0
Fargo/ND,0,0
Fayetteville/NC,0,0
Fayetteville/Springdale/Rogers/AR,0,0
Flagstaff/AZ,0,0
Flint/MI,0,0
Fort Smith/AR,0,0
Fort Wayne/IN,0,0
Fresno/CA,0,0
Ft. Lauderdale/FL,0,0
Ft. Myers/FL,0,0
Gainesville/FL,0,0
Garden City/KS,0,0
Gillette/WY,0,0
Grand Forks/ND,0,0
Grand Island/NE,0,0
Grand Junction/CO,0,0
Grand Rapids/MI,324,337
