"","date","month","city","state","event_name","JSD_score","Spearman_cor"
"1","2/1/17",1,"St. Louis","MO","NHL Winter Classic",0,1
"2","4/1/17",1,"New York","NY","National Board of Review of Motion Pictures Awards Gala",0.394928696118954,-0.160714285714286
"3","5/1/17",1,"New York","NY","Winter Jazzfest NYC",0.319909088877058,-0.442857142857143
"4","5/1/17",1,"Las Vegas","NV","International Consumer Electronics Show (CES)",0.266752159202612,0.146428571428571
"5","5/1/17",1,"New York","NY","Jazz Connect Conference",0.209118119438482,-0.257142857142857
"6","6/1/17",1,"New York","NY","Winter Jazzfest NYC",0.319909088877058,-0.442857142857143
"7","6/1/17",1,"Las Vegas","NV","International Consumer Electronics Show (CES)",0.266752159202612,0.146428571428571
"8","6/1/17",1,"New York","NY","Jazz Connect Conference",0.209118119438482,-0.257142857142857
"9","6/1/17",1,"New York","NY","APAP conference",0.303738795803452,-0.603571428571428
"10","7/1/17",1,"New York","NY","Winter Jazzfest NYC",0.319909088877058,-0.442857142857143
"11","7/1/17",1,"Las Vegas","NV","International Consumer Electronics Show (CES)",0.266752159202612,0.146428571428571
"12","7/1/17",1,"New York","NY","APAP conference",0.303738795803452,-0.603571428571428
"13","8/1/17",1,"New York","NY","Winter Jazzfest NYC",0.319909088877058,-0.442857142857143
"14","8/1/17",1,"Las Vegas","NV","International Consumer Electronics Show (CES)",0.266752159202612,0.146428571428571
"15","8/1/17",1,"New York","NY","APAP conference",0.303738795803452,-0.603571428571428
"16","9/1/17",1,"New York","NY","Winter Jazzfest NYC",0.319909088877058,-0.442857142857143
"17","9/1/17",1,"New York","NY","APAP conference",0.303738795803452,-0.603571428571428
"18","9/1/17",1,"Tampa","FL","CFP National Championship Game",0,1
"19","10/1/17",1,"New York","NY","Winter Jazzfest NYC",0.319909088877058,-0.442857142857143
"20","10/1/17",1,"New York","NY","APAP conference",0.303738795803452,-0.603571428571428
"21","11/1/17",1,"Crested Butte","CO","Mountain High Music Festival",2.23374843279405e-18,1
"22","11/1/17",1,"New York","NY","Intelligence Squared U.S. Spring Season Opening Debate",0.418835347128214,-0.375
"23","12/1/17",1,"Crested Butte","CO","Mountain High Music Festival",2.23374843279405e-18,1
"24","13/1/2017",1,"Crested Butte","CO","Mountain High Music Festival",2.23374843279405e-18,1
"25","13/1/2017",1,"Santa Rosa Beach","FL","30A Songwriters Festival",0,1
"26","14/1/2017",1,"Crested Butte","CO","Mountain High Music Festival",2.23374843279405e-18,1
"27","14/1/2017",1,"Santa Rosa Beach","FL","30A Songwriters Festival",0,1
"28","15/1/2017",1,"Crested Butte","CO","Mountain High Music Festival",2.23374843279405e-18,1
"29","15/1/2017",1,"Santa Rosa Beach","FL","30A Songwriters Festival",0,1
"30","16/1/2017",1,"Santa Rosa Beach","FL","30A Songwriters Festival",0,1
"31","17/1/2017",1,"San Antonio","TX","Barbershop Harmony Society Midwinter Convention",0.118920857493896,0.392857142857143
"32","17/1/2017",1,"Miami Beach","FL","NATPE",0.132624326880214,0.157142857142857
"33","18/1/2017",1,"San Antonio","TX","Barbershop Harmony Society Midwinter Convention",0.118920857493896,0.392857142857143
"34","18/1/2017",1,"Miami Beach","FL","NATPE",0.132624326880214,0.157142857142857
"35","18/1/2017",1,"Los Angeles","CA","People's Choice Awards",0.147577292661444,-0.117857142857143
"36","19/1/2017",1,"San Antonio","TX","Barbershop Harmony Society Midwinter Convention",0.118920857493896,0.392857142857143
"37","19/1/2017",1,"Miami Beach","FL","NATPE",0.132624326880214,0.157142857142857
"38","19/1/2017",1,"Park City","UT","Sundance Film Festival",1.85868701756144e-18,1
"39","19/1/2017",1,"Anaheim","CA","National Association of Music Merchandise (NAMM) Show",0.18214886751665,0.838248770824574
"40","19/1/2017",1,"Grand Rapids","MI","Michigan Music Conference",8.50006364975998e-17,1
"41","20/1/2017",1,"San Antonio","TX","Barbershop Harmony Society Midwinter Convention",0.118920857493896,0.392857142857143
"42","20/1/2017",1,"Park City","UT","Sundance Film Festival",1.85868701756144e-18,1
"43","20/1/2017",1,"Anaheim","CA","National Association of Music Merchandise (NAMM) Show",0.18214886751665,0.838248770824574
"44","20/1/2017",1,"Grand Rapids","MI","Michigan Music Conference",8.50006364975998e-17,1
"45","21/1/2017",1,"San Antonio","TX","Barbershop Harmony Society Midwinter Convention",0.118920857493896,0.392857142857143
"46","21/1/2017",1,"Park City","UT","Sundance Film Festival",1.85868701756144e-18,1
"47","21/1/2017",1,"Anaheim","CA","National Association of Music Merchandise (NAMM) Show",0.18214886751665,0.838248770824574
"48","21/1/2017",1,"Grand Rapids","MI","Michigan Music Conference",8.50006364975998e-17,1
"49","22/1/2017",1,"San Antonio","TX","Barbershop Harmony Society Midwinter Convention",0.118920857493896,0.392857142857143
"50","22/1/2017",1,"Park City","UT","Sundance Film Festival",1.85868701756144e-18,1
"51","22/1/2017",1,"Anaheim","CA","National Association of Music Merchandise (NAMM) Show",0.18214886751665,0.838248770824574
"52","22/1/2017",1,"San Francisco","CA","Winter Fancy Food Show",0.243429646974803,-0.0392857142857143
"53","23/1/2017",1,"Park City","UT","Sundance Film Festival",1.85868701756144e-18,1
"54","23/1/2017",1,"San Francisco","CA","Winter Fancy Food Show",0.243429646974803,-0.0392857142857143
"55","24/1/2017",1,"Park City","UT","Sundance Film Festival",1.85868701756144e-18,1
"56","24/1/2017",1,"San Francisco","CA","Winter Fancy Food Show",0.243429646974803,-0.0392857142857143
"57","25/1/2017",1,"Park City","UT","Sundance Film Festival",1.85868701756144e-18,1
"58","26/1/2017",1,"Park City","UT","Sundance Film Festival",1.85868701756144e-18,1
"59","27/1/2017",1,"Park City","UT","Sundance Film Festival",1.85868701756144e-18,1
"60","27/1/2017",1,"Ann Arbor","MI","Ann Arbor Folk Festival",0,1
"61","28/1/2017",1,"Park City","UT","Sundance Film Festival",1.85868701756144e-18,1
"62","28/1/2017",1,"Ann Arbor","MI","Ann Arbor Folk Festival",0,1
"63","28/1/2017",1,"Los Angeles","CA","Producers Guild Awards",0.179078807324708,-0.0607142857142857
"64","29/1/2017",1,"Park City","UT","Sundance Film Festival",1.85868701756144e-18,1
"65","29/1/2017",1,"Orlando","FL","NFL Pro Bowl",0.178211346036736,0.0607142857142857
"66","29/1/2017",1,"Los Angeles","CA","NHL All Star Game",0.300048063978934,-0.346428571428571
"67","29/1/2017",1,"Los Angeles","CA","Screen Actors Guild Awards",0.179071578764085,-0.0571428571428571
"68","31/1/2017",1,"Memphis","TN","International Blues Challenge",0.109689139362975,0.514285714285714
"69","31/1/2017",1,"Los Angeles","CA","Pollstar Live!",0.225362577502049,-0.25
"70","1/2/17",2,"Memphis","TN","International Blues Challenge",0.109689139362975,0.514285714285714
"71","1/2/17",2,"Los Angeles","CA","Pollstar Live!",0.225362577502049,-0.25
"72","1/2/17",2,"New York","NY","The Ellies National Magazine Awards Gal",0.279341705371083,-0.439285714285714
"73","2/2/17",2,"Memphis","TN","International Blues Challenge",0.109689139362975,0.514285714285714
"74","2/2/17",2,"Los Angeles","CA","Pollstar Live!",0.225362577502049,-0.25
"75","3/2/17",2,"Memphis","TN","International Blues Challenge",0.109689139362975,0.514285714285714
"76","4/2/17",2,"Memphis","TN","International Blues Challenge",0.109689139362975,0.514285714285714
"77","4/2/17",2,"Chicago","IL","Chicago Voice Gala",0.0752770370356322,0.346428571428571
"78","4/2/17",2,"Los Angeles","CA","Directors Guild Awards",0.187173096980004,-0.0428571428571429
"79","4/2/17",2,"Houston","TX","NFL Honors",0.0208837304585899,0.996428571428571
"80","5/2/17",2,"Houston","TX","NFL Super Bowl",0.0432840989653439,0.682142857142857
"81","8/2/17",2,"Detroit","MI","Sphinx Competition",0.172013548928441,0.448615013810166
"82","9/2/17",2,"Detroit","MI","Sphinx Competition",0.172013548928441,0.448615013810166
"83","9/2/17",2,"New York","NY","New York Fashion Week (Fall/Winter 2017)",0.22699510052057,0.0678571428571429
"84","10/2/17",2,"Detroit","MI","Sphinx Competition",0.172013548928441,0.448615013810166
"85","10/2/17",2,"New York","NY","New York Fashion Week (Fall/Winter 2017)",0.22699510052057,0.0678571428571429
"86","10/2/17",2,"Santa Monica","CA","MusiCares Person Of The Year Tribute",0,1
"87","11/2/17",2,"Detroit","MI","Sphinx Competition",0.172013548928441,0.448615013810166
"88","11/2/17",2,"New York","NY","New York Fashion Week (Fall/Winter 2017)",0.22699510052057,0.0678571428571429
"89","11/2/17",2,"Los Angeles","CA","NAACP Image Awards",0.0893014684403703,-0.117857142857143
"90","11/2/17",2,"Los Angeles","CA","The Academyäó»s Sci Tech Awards",0.147577292661477,-0.117857142857143
"91","11/2/17",2,"Los Angeles","CA","The Writers Guild Awards",0.187173096980004,-0.0428571428571429
